source,title,description,publishedAt,url
CNA,Broadcom rides on AI chip demand to deliver upbeat revenue forecast,"Broadcom forecast third-quarter revenue above Wall Street estimates on Thursday, betting on strong demand for its networking and custom AI computing chips.However, the company's shares fell 4 per cent in extended trading, after gaining about 12 per cent this …",2025-06-05T20:20:13Z,https://www.channelnewsasia.com/business/broadcom-rides-ai-chip-demand-deliver-upbeat-revenue-forecast-5168181
Android Central,"Jackie Chan was spotted using a foldable on TikTok, and we've got our top suspects","Jackie Chan shows off his pandas on a foldable, and we got to digging to find out if his phone has physical strength, agility, and ability to match his Kung Fu.",2025-06-05T20:20:10Z,https://www.androidcentral.com/phones/huawei/jackie-chan-was-spotted-using-a-foldable-on-tiktok-and-weve-got-our-top-suspects
CBS News,Musk says Trump is included in the Epstein files as feud escalates,"Elon Musk and President Trump continued their war of words Thursday with Musk saying on social media that Mr. Trump's name appeared in the files related to the case of Jeffrey Epstein, the disgraced financier who died by suicide in federal custody in 2019 whi…",2025-06-05T20:20:00Z,https://www.cbsnews.com/video/musk-says-trump-included-epstein-files-feud-escalates/
Forbes,Tesla Plummets 14% In Stock’s 11th-Worst Day Ever As Musk’s Feud With Trump Escalates,"Musk has called to “kill” Trump’s policy bill, criticizing the legislation as “massive, outrageous” and “pork-filled.”",2025-06-05T20:18:23Z,https://www.forbes.com/sites/tylerroush/2025/06/05/tesla-plummets-14-in-stocks-11th-worst-day-ever-as-musks-feud-with-trump-escalates/
Newsweek,Student Loan Update: Borrowers Catch a Break as Interest Rates Drop,"For loans disbursed between July 1, 2025, and June 30, 2026, undergraduate rates will be set at 6.39 percent, a decline from last year's 6.53 percent.",2025-06-05T20:16:31Z,https://www.newsweek.com/student-loan-update-borrowers-catch-break-interest-rates-drop-2081665
WDIV ClickOnDetroit,Tesla stock plunges as Musk's feud with Trump over GOP tax bill spooks investors,Shares of Elon Musk’s electric vehicle maker fell sharply Thursday as investors fear his dispute with President Donald Trump could end up hurting the company.,2025-06-05T20:15:24Z,https://www.clickondetroit.com/news/politics/2025/06/05/tesla-stock-plunges-as-musks-feud-with-trump-over-gop-tax-bill-spooks-investors/
Slashdot.org,"Stock Market Today: Dow down 200 points, S&P 500 and Nasdaq fall as Tesla shares plunge and investors await Friday's jobs report - MarketWatch","Stock Market Today: Dow down 200 points, S&P 500 and Nasdaq fall as Tesla shares plunge and investors await Friday's jobs reportMarketWatch S&P 500 closes lower as Tesla shares tumble, traders weigh Trump-Xi talk: Live updatesCNBC Stock market today: S&P 500,…",2025-06-05T20:15:16Z,https://slashdot.org/firehose.pl?op=view&amp;id=177938496
GlobeNewswire,Quanex Building Products Announces Second Quarter 2025 Results and Reaffirms Full Year 2025 Guidance,Seasonal Uptick Unfolding as ExpectedVolume Growth in European Fenestration SegmentResults Again Lifted by Contribution from Tyman AcquisitionTyman Integration Ahead of TimelineCost Synergy Target Increased to ~$45 Million,2025-06-05T20:15:00Z,https://www.globenewswire.com/news-release/2025/06/05/3094783/0/en/Quanex-Building-Products-Announces-Second-Quarter-2025-Results-and-Reaffirms-Full-Year-2025-Guidance.html
GlobeNewswire,Comstock Metals Receives Expanded County Storage Permit for Recycling Ramp Up,Accelerates the Development of the first Industry-Scale Solar Panel Recycling Facility Accelerates the Development of the first Industry-Scale Solar Panel Recycling Facility,2025-06-05T20:15:00Z,https://www.globenewswire.com/news-release/2025/06/05/3094780/0/en/Comstock-Metals-Receives-Expanded-County-Storage-Permit-for-Recycling-Ramp-Up.html
Business Insider,Circle surges 167% as traders pile into the stablecoin giant's stock-market debut,"Circle stock rose as much as 235% in its first day as a public company. The stablecoin market is having a moment, also getting attention from lawmakers.",2025-06-05T20:14:16Z,https://www.businessinsider.com/circle-stock-price-usd-coin-crypto-crcl-ipo-genius-act-2025-6
Biztoc.com,"U.S. stocks end lower as Tesla plunge helps snap S&P, Nasdaq's 3-day winning run",,2025-06-05T20:09:35Z,https://biztoc.com/x/235e7a9bcd0d2f57
ZyCrypto,Institutional Adoption Wave Rocks Ripple’s XRP After Chinese Firm Targets $300 Million XRP Treasury,Chinese travel and mobility conglomerate Webus International filed a Form 6-K with the U.S. Securities and Exchange Commission (SEC) on June 2 to formally disclose its plans to establish a $300 million XRP treasury. The move marks one of the largest crypto tr…,2025-06-05T20:09:34Z,https://zycrypto.com/institutional-adoption-wave-rocks-ripples-xrp-after-chinese-firm-targets-300-million-xrp-treasury/
Biztoc.com,"Cryptos fall, Bitcoin slides over 2.5%",The price of cryptocurrencies followed a downward trend on Thursday following a weaker-than-expected expansion of jobs in the United States private sector and the rupture in the relationship between P...,2025-06-05T20:09:29Z,https://biztoc.com/x/adbad9adef65742a
CryptoSlate,Bitcoin dives below $102k amid fading momentum and macro uncertainty,"Bitcoin (BTC) plunged to a low of $101,500 on June 5, marking its sharpest decline in over a month as a wave of selling swept through crypto markets. The drop extended a multi-day slide triggered by shifting investor sentiment and declining demand from instit…",2025-06-05T20:09:20Z,https://cryptoslate.com/bitcoin-dives-below-102k-amid-fading-momentum-and-macro-uncertainty/
Biztoc.com,Price Over Earnings Overview: Guess,"In the current session, Guess Inc. (NYSE:GES) is trading at $11.03, after a 0.77% decrease. Over the past month, the stock fell by 3.71%, and in the past year, by 52.33%. With performance like this, long-term shareholders are more likely to start looking into…",2025-06-05T20:09:16Z,https://biztoc.com/x/be0244f6006cb733
